剧名称,group_title,发弹幕时刻相对于视频起始时间偏移量,累计点赞数,弹幕内容
十八岁太奶奶驾到，重整家族荣耀第三部,第1集,161891,0,哈哈哈哈哈老了都逃不过上学的命运[捂脸][捂脸]
十八岁太奶奶驾到，重整家族荣耀第三部,第3集,0,0,[送花]
那年冬至,第3集,100769,0,4.25无聊来看看了
那年冬至,第4集,60231,0,男主没招了[捂脸][捂脸][捂脸]
北往,第2集,13862,0,哈哈哈皮皮这表情
荒年全村啃树皮，我有系统满仓肉,第1集,143052,0,我勒个逗，孙子都有了
撕夜,第1集,37989,0,[偷笑]
北往,第1集,169708,1,荣英老师[鼓掌][鼓掌][鼓掌]
那年冬至,第2集,145599,0,还是宝宝龙
十八岁太奶奶驾到，重整家族荣耀第三部,第1集,8704,3,刚看完第二季 太棒啦
撕夜,第3集,4522,0,[KISS][KISS][KISS]
十八岁太奶奶驾到，重整家族荣耀第三部,第2集,129585,0,6哈，这老五太可爱了
幸得相遇离婚时,第3集,17430,0,4刷
撕夜,第1集,166308,0,还说都杀了呢，都杀了可能被剪掉了。第1次看的时候没有被剪掉
撕夜,第4集,106138,0,台词不对啊。我准备那么多，咋对不上
十八岁太奶奶驾到，重整家族荣耀第三部,第1集,9431,0,太奶3，我等你好久了。你刚一上线就来看了
北往,第1集,46277,0,[笑哭]
十八岁太奶奶驾到，重整家族荣耀第三部,第1集,164103,0,[捂脸][捂脸][捂脸][捂脸]
幸得相遇离婚时,第2集,118794,1,真的好好看
家里家外,第2集,143767,0,贺子秋？
十八岁太奶奶驾到，重整家族荣耀第三部,第1集,192584,0,像极了我上学时我奶奶和我说的话
撕夜,第1集,43795,4,一秒变脸666
十八岁太奶奶驾到，重整家族荣耀第三部,第3集,173826,45,哇哦
十八岁太奶奶驾到，重整家族荣耀第三部,第2集,145579,0,笑死我了[偷笑]
家里家外,第2集,264551,0,不是劳资蜀道山吗
那年冬至,第1集,103386,0,翅翅这样看起来好乖[爱慕][爱慕]
十八岁太奶奶驾到，重整家族荣耀第三部,第2集,75734,0,？
那年冬至,第1集,19356,0,翅翅好帅！
北往,第2集,20044,0,人在囚途吗
家里家外,第2集,160477,0,还是重庆方言好听[捂脸]
荒年全村啃树皮，我有系统满仓肉,第5集,22357,0,嗯
十八岁太奶奶驾到，重整家族荣耀第三部,第2集,114176,0,真会说
十八岁太奶奶驾到，重整家族荣耀第三部,第2集,265466,0,把蛋仔派对的名字发我 快点 我要跟你一起打
北往,第1集,233187,0,比现在有的长剧强多了
十八岁太奶奶驾到，重整家族荣耀第三部,第5集,53257,0,老四厉害
十八岁太奶奶驾到，重整家族荣耀第三部,第2集,215246,6,[笑哭][笑哭]
十八岁太奶奶驾到，重整家族荣耀第三部,第1集,235240,0,书包：？
那年冬至,第1集,103490,0,我去看下大结局[捂脸]一会回来
那年冬至,第2集,161916,0,小卡小卡宝宝龙 有眼光[偷笑]
天下第一纨绔,第5集,83146,0,让你走了吗
十八岁太奶奶驾到，重整家族荣耀第三部,第3集,141284,0,[求爆更][求爆更][求爆更]
十八岁太奶奶驾到，重整家族荣耀第三部,第2集,5345,0,添添
十八岁太奶奶驾到，重整家族荣耀第三部,第3集,231589,0,才到会这样
十八岁太奶奶驾到，重整家族荣耀第三部,第1集,87667,0,[没看够][没看够][没看够]
家里家外,第2集,249489,14,我是耙耳朵
撕夜,第4集,163309,0,[捂脸][捂脸][捂脸]
十八岁太奶奶驾到，重整家族荣耀第三部,第3集,126513,2,牛[赞][赞][赞]
北往,第3集,97553,0,这女的是哪的口音
十八岁太奶奶驾到，重整家族荣耀第三部,第2集,233405,0,哇哈哈
十八岁太奶奶驾到，重整家族荣耀第三部,第1集,31188,0,终于等到了[爽]
十八岁太奶奶驾到，重整家族荣耀第三部,第2集,246627,0,可爱
家里家外,第3集,123540,0,[奸笑]
北往,第1集,59031,8,这老板是个好老板[赞][赞][赞][赞][赞]
十八岁太奶奶驾到，重整家族荣耀第三部,第2集,68128,0,[赞]
家里家外,第5集,13660,6,手写存折很真实
十八岁太奶奶驾到，重整家族荣耀第三部,第1集,35626,0,小少爷叫……大为[捂脸]
